Participante,1. Qual a sua idade?,2. Estado civil:,3. Gênero: Como você se identifica?,4. Autoidentificação racial/étnica (escolha a opção que melhor descreve a sua identidade),5. Qual sua formação educacional:,6. Sua formação foi em instituição:,7. Você atua como:,8. Você atua no:,9. Quanto tempo você atua na Educação Infantil?,11. Você está ciente da inclusão do ensino da computação na educação básica como parte da Política Nacional de Educação Digital (PNED)?,"12. Você já participou de alguma capacitação e/ou formação, sobre o ensino da computação na Educação Básica?",13. É necessário que os professores recebam formações para lidar com a implementação da PNED e o ensino de Computação na Educação Básica:,14. Você possui interesse em participar de formações sobre o ensino da computação na Educação Básica?,15. Compreender sobre pensamento computacional permite que os alunos tenham um melhor desempenho no mundo do trabalho.,16. O pensamento computacional oferece aos estudantes uma base melhor para agir e participar em uma sociedade democrática.,17. É importante ensinar pensamento computacional na Educação Básica.,"18. Desenvolver o  pensamento computacional é tão importante quanto desenvolver habilidades de leitura, escrita e matemática.","19. O pensamento computacional pode ser incluído na sala de aula, permitindo que os alunos resolvam problemas.",20. O  pensamento computacional pode ser ensinado na sala de aula sem o uso de computadores ou outros recursos digitais.,21. O  pensamento computacional dá aos alunos habilidades para resolver problemas de maneira eficiente.,"22. Os professores são importantes para facilitar a educação em computação (por exemplo, discutir os perigos/potenciais dos algoritmos ou solicitar tarefas desafiadoras).",23. O  pensamento computacional ajuda a entender o potencial e as consequências das tecnologias digitais em nossa vida e sociedade.,24.  O pensamento computacional proporciona aos alunos habilidades valiosas no uso de dispositivos digitais.,25.  O pensamento computacional é relevante para o trabalho e a educação obrigatória deve focar no desenvolvimento dessa habilidade.,"26. Crianças pequenas expostas a dispositivos digitais antes da escola, já estão preparadas para uma sociedade digitalizada.","27. Eu tenho habilidades para aprender ferramentas de programação (como por exemplo, Scratch).","28. Eu me sinto confortável em aprender conceitos de computação (como algoritmos, decomposição, abstração).","29. Eu sei ensinar princípios de computação (como algoritmos, decomposição, abstração) em sala de aula.","30. Eu posso aprender princípios de computação (como algoritmos, decomposição e abstração) para resolver problemas.",31. Como você percebe a organização da prática pedagógica em relação ao pensamento computacional na educação infantil? ,32. Você pode dar um exemplo específico de uma ação pedagógica que você considera estar voltada para o desenvolvimento do pensamento computacional na educação infantil? 
P1,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Doutorado,Pública,Educador,5,Mais de 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Discordo Totalmente,,
P2,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Doutorado,Ambas,Educador,5,1 à 5 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indeciso,Indeciso,Indeciso,Indeciso,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Indeciso,ttttttt,
P3,50 anos ou mais,Separado(a) ou divorciado(a),Feminino,Branco,Especialização,Pública,Supervisor,,Mais de 20 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Indeciso,Concordo,Indeciso,Concordo,"Utilizar a tecnologia digital de maneira segura, consciente.",Completar sequência de figuras   de acordo com o padrão estabelecido por meio de jogos on-line.
P4,42 - 49 anos,Solteiro(a),Feminino,Branco,Especialização,Pública,Educador,4,6 à 10 anos,Sim,Não,Concordo,Sim,Concordo,Concordo,Concordo,Concordo,Indeciso,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Algo novo e precisa ser estudado mais a fundo.,Pesquisa científica.
P5,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Privada,Supervisor,,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Percebo que falta capacitação dos profissionais a tecnologia e recursos também ,
P6,26 - 33 anos,Solteiro(a),Feminino,Pardo/Mestiço,Especialização,Pública,Supervisor,,1 à 5 anos,Sim,Não,Concordo,Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo Totalmente,Concordo,Concordo,Concordo,Indeciso,Indeciso,Indeciso,Discordo,Concordo,,
P7,26 - 33 anos,Casado(a) ou união estável,Feminino,Branco,Ensino Médio (Modalidade Normal/Magistério),Pública,Educador,4,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo,Concordo Totalmente,,
P8,34 - 41 anos,Viúvo(a),Feminino,Pardo/Mestiço,Graduação,Ambas,Educador,5,1 à 5 anos,Sim,Oficina sobre o assunto ,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Discordo,Concordo,Concordo Totalmente,Discordo,Concordo,"Recebo de mente aberta, e disposição para apresentar e compreender. ","Proporcionar elementos que que a criança possa desenvolver algo, questionado qual o objetivo da  sua crianção, como pode mudar/facilitar sua vida em prol do bem comum."
P9,42 - 49 anos,Casado(a) ou união estável,Feminino,Pardo/Mestiço,Especialização,Privada,Educador,4,16 à 20 anos,Não,Não,Concordo Totalmente,Talvez,Concordo,Indeciso,Concordo,Discordo,Indeciso,Discordo,Indeciso,Indeciso,Concordo,Concordo,Indeciso,Indeciso,Discordo Totalmente,Indeciso,Discordo Totalmente,Indeciso,"Acho muito cedo , crianças devem ter desenvolvimento manual primeiramente.",
P10,42 - 49 anos,Casado(a) ou união estável,Feminino,Branco,Especialização,Ambas,Educador,5,6 à 10 anos,Sim,Não,Concordo Totalmente,Sim,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Concordo Totalmente,Discordo Totalmente,Concordo,Concordo,Discordo,Concordo Totalmente,Eu não veja no dia a dia. Os professores ainda estão muito aquém.,Não 
